Date,Close/Last,Volume,Open,High,Low
09/26/2017,$7.7,161738,$7.45,$7.75,$7.45
09/25/2017,$7.45,102807,$7.75,$7.8,$7.4
09/22/2017,$7.75,140828,$7.65,$7.85,$7.555
09/21/2017,$7.65,92709,$8,$8,$7.65
09/20/2017,$8,106129,$7.9,$8,$7.8
09/19/2017,$8,209767,$8.15,$8.2,$7.9
09/18/2017,$8.15,242782,$8.4,$8.45,$8.1
09/15/2017,$8.45,319049,$7.7,$8.5,$7.65
09/14/2017,$7.7,286664,$7.85,$7.85,$7.45
09/13/2017,$7.8,344285,$7.45,$7.85,$7.35
09/12/2017,$7.5,83635,$7.35,$7.6,$7.3
09/11/2017,$7.3,94213,$7.35,$7.4,$7.15
09/08/2017,$7.3,136339,$7.55,$7.55,$7.1
09/07/2017,$7.6,87828,$7.6,$7.7,$7.35
09/06/2017,$7.6,110100,$7.65,$7.75,$7.4
09/05/2017,$7.6,180742,$7.75,$7.75,$7.55
09/01/2017,$7.8,63378,$7.8,$7.85,$7.65
08/31/2017,$7.75,164205,$7.55,$7.85,$7.45
08/30/2017,$7.5,113234,$7.45,$7.645,$7.4
08/29/2017,$7.5,80331,$7.25,$7.55,$7.2
08/28/2017,$7.25,105770,$7.4,$7.5,$7.2
08/25/2017,$7.4,84593,$7.2,$7.425,$7.2
